#TYPE Selected.AwsAction
"ServiceName","Action","Description","AccessLevel","DocLink"
"AWS App2Container","a2c:GetContainerizationJobDetails","Grants permission to get the details of all Containerization jobs","Read","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_awsapp2container.html"
"AWS App2Container","a2c:GetDeploymentJobDetails","Grants permission to get the details of all Deployment jobs","Read","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_awsapp2container.html"
"AWS App2Container","a2c:StartContainerizationJob","Grants permission to start a Containerization job","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_awsapp2container.html"
"AWS App2Container","a2c:StartDeploymentJob","Grants permission to start a Deploymnet job","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_awsapp2container.html"
"Alexa for Business","a4b:ApproveSkill","Grants permission to associate a skill with the organization under the customer's AWS account","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:AssociateContactWithAddressBook","Grants permission to associate a contact with a given address book","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:AssociateDeviceWithNetworkProfile","Grants permission to associate a device with the specified network profile","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:AssociateDeviceWithRoom","Grants permission to associate device with given room","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:AssociateSkillGroupWithRoom","Grants permission to associate the skill group with given room","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:AssociateSkillWithSkillGroup","Grants permission to associate a skill with a skill group","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:AssociateSkillWithUsers","Grants permission to make a private skill available for enrolled users to enable on their devices","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:CompleteRegistration","Grants permission to complete the operation of registering an Alexa device","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:CreateAddressBook","Grants permission to create an address book with the specified details","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:CreateBusinessReportSchedule","Grants permission to create a recurring schedule for usage reports to deliver to the specified S3 location with a specified daily or weekly interval","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:CreateConferenceProvider","Grants permission to add a new conference provider under the user's AWS account","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:CreateContact","Grants permission to create a contact with the specified details","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:CreateGatewayGroup","Grants permission to create a gateway group with the specified details","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:CreateNetworkProfile","Grants permission to create a network profile with the specified details","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:CreateProfile","Grants permission to create a new profile","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:CreateRoom","Grants permission to create room with the specified details","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:CreateSkillGroup","Grants permission to create a skill group with given name and description","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:CreateUser","Grants permission to create a user","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:DeleteAddressBook","Grants permission to delete an address book by the address book ARN","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:DeleteBusinessReportSchedule","Grants permission to delete the recurring report delivery schedule with the specified schedule ARN","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:DeleteConferenceProvider","Grants permission to delete a conference provider","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:DeleteContact","Grants permission to delete a contact by the contact ARN","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:DeleteDevice","Grants permission to remove a device from Alexa For Business","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:DeleteDeviceUsageData","Grants permission to delete the device's entire previous history of voice input data and associated response data","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"Alexa for Business","a4b:DeleteGatewayGroup","Grants permission to delete a gateway group","Write","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
