ServiceName                                              Action                                                                           AccessLevel             Description
AWS App2Container                                        a2c:GetContainerizationJobDetails                                                Read                    Grants permission to get the details of all Containerization jobs
AWS App2Container                                        a2c:GetDeploymentJobDetails                                                      Read                    Grants permission to get the details of all Deployment jobs
AWS App2Container                                        a2c:StartContainerizationJob                                                     Write                   Grants permission to start a Containerization job
AWS App2Container                                        a2c:StartDeploymentJob                                                           Write                   Grants permission to start a Deploymnet job
Alexa for Business                                       a4b:ApproveSkill                                                                 Write                   Grants permission to associate a skill with the organization under the customer's AWS account
Alexa for Business                                       a4b:AssociateContactWithAddressBook                                              Write                   Grants permission to associate a contact with a given address book
Alexa for Business                                       a4b:AssociateDeviceWithNetworkProfile                                            Write                   Grants permission to associate a device with the specified network profile
Alexa for Business                                       a4b:AssociateDeviceWithRoom                                                      Write                   Grants permission to associate device with given room
Alexa for Business                                       a4b:AssociateSkillGroupWithRoom                                                  Write                   Grants permission to associate the skill group with given room
Alexa for Business                                       a4b:AssociateSkillWithSkillGroup                                                 Write                   Grants permission to associate a skill with a skill group
Alexa for Business                                       a4b:AssociateSkillWithUsers                                                      Write                   Grants permission to make a private skill available for enrolled users to enable on their devices
Alexa for Business                                       a4b:CompleteRegistration                                                         Write                   Grants permission to complete the operation of registering an Alexa device
Alexa for Business                                       a4b:CreateAddressBook                                                            Write                   Grants permission to create an address book with the specified details
Alexa for Business                                       a4b:CreateBusinessReportSchedule                                                 Write                   Grants permission to create a recurring schedule for usage reports to deliver to the specified S3 location with a specified daily or weekly interval
Alexa for Business                                       a4b:CreateConferenceProvider                                                     Write                   Grants permission to add a new conference provider under the user's AWS account
Alexa for Business                                       a4b:CreateContact                                                                Write                   Grants permission to create a contact with the specified details
Alexa for Business                                       a4b:CreateGatewayGroup                                                           Write                   Grants permission to create a gateway group with the specified details
Alexa for Business                                       a4b:CreateNetworkProfile                                                         Write                   Grants permission to create a network profile with the specified details
Alexa for Business                                       a4b:CreateProfile                                                                Write                   Grants permission to create a new profile
Alexa for Business                                       a4b:CreateRoom                                                                   Write                   Grants permission to create room with the specified details
Alexa for Business                                       a4b:CreateSkillGroup                                                             Write                   Grants permission to create a skill group with given name and description
Alexa for Business                                       a4b:CreateUser                                                                   Write                   Grants permission to create a user
Alexa for Business                                       a4b:DeleteAddressBook                                                            Write                   Grants permission to delete an address book by the address book ARN
Alexa for Business                                       a4b:DeleteBusinessReportSchedule                                                 Write                   Grants permission to delete the recurring report delivery schedule with the specified schedule ARN
Alexa for Business                                       a4b:DeleteConferenceProvider                                                     Write                   Grants permission to delete a conference provider
Alexa for Business                                       a4b:DeleteContact                                                                Write                   Grants permission to delete a contact by the contact ARN
Alexa for Business                                       a4b:DeleteDevice                                                                 Write                   Grants permission to remove a device from Alexa For Business
Alexa for Business                                       a4b:DeleteDeviceUsageData                                                        Write                   Grants permission to delete the device's entire previous history of voice input data and associated response data
Alexa for Business                                       a4b:DeleteGatewayGroup                                                           Write                   Grants permission to delete a gateway group
Alexa for Business                                       a4b:DeleteNetworkProfile                                                         Write                   Grants permission to delete a network profile by the network profile ARN
Alexa for Business                                       a4b:DeleteProfile                                                                Write                   Grants permission to delete profile by profile ARN
Alexa for Business                                       a4b:DeleteRoom                                                                   Write                   Grants permission to delete room
Alexa for Business                                       a4b:DeleteRoomSkillParameter                                                     Write                   Grants permission to delete a parameter from a skill and room
Alexa for Business                                       a4b:DeleteSkillAuthorization                                                     Write                   Grants permission to unlink a third-party account from a skill
Alexa for Business                                       a4b:DeleteSkillGroup                                                             Write                   Grants permission to delete skill group with skill group ARN
Alexa for Business                                       a4b:DeleteUser                                                                   Write                   Grants permission to delete a user
Alexa for Business                                       a4b:DisassociateContactFromAddressBook                                           Write                   Grants permission to disassociate a contact from a given address book
Alexa for Business                                       a4b:DisassociateDeviceFromRoom                                                   Write                   Grants permission to disassociate device from its current room
Alexa for Business                                       a4b:DisassociateSkillFromSkillGroup                                              Write                   Grants permission to disassociate a skill from a skill group
Alexa for Business                                       a4b:DisassociateSkillFromUsers                                                   Write                   Grants permission to make a private skill unavailable for enrolled users and prevent them from enabling it on their devices
Alexa for Business                                       a4b:DisassociateSkillGroupFromRoom                                               Write                   Grants permission to disassociate the skill group from given room
Alexa for Business                                       a4b:ForgetSmartHomeAppliances                                                    Write                   Grants permission to forget smart home appliances associated to a room
Alexa for Business                                       a4b:GetAddressBook                                                               Read                    Grants permission to get the address book details by the address book ARN
Alexa for Business                                       a4b:GetConferencePreference                                                      Read                    Grants permission to retrieve the existing conference preferences
Alexa for Business                                       a4b:GetConferenceProvider                                                        Read                    Grants permission to get details about a specific conference provider
Alexa for Business                                       a4b:GetContact                                                                   Read                    Grants permission to get the contact details by the contact ARN
Alexa for Business                                       a4b:GetDevice                                                                    Read                    Grants permission to get device details
Alexa for Business                                       a4b:GetGateway                                                                   Read                    Grants permission to retrieve the details of a gateway
Alexa for Business                                       a4b:GetGatewayGroup                                                              Read                    Grants permission to retrieve the details of a gateway group
Alexa for Business                                       a4b:GetInvitationConfiguration                                                   Read                    Grants permission to retrieve the configured values for the user enrollment invitation email template
Alexa for Business                                       a4b:GetNetworkProfile                                                            Read                    Grants permission to get the network profile details by the network profile ARN
Alexa for Business                                       a4b:GetProfile                                                                   Read                    Grants permission to get profile when provided with Profile ARN
Alexa for Business                                       a4b:GetRoom                                                                      Read                    Grants permission to get room details
Alexa for Business                                       a4b:GetRoomSkillParameter                                                        Read                    Grants permission to get an existing parameter that has been set for a skill and room
Alexa for Business                                       a4b:GetSkillGroup                                                                Read                    Grants permission to get skill group details with skill group ARN
Alexa for Business                                       a4b:ListBusinessReportSchedules                                                  List                    Grants permission to list the details of the schedules that a user configured
Alexa for Business                                       a4b:ListConferenceProviders                                                      List                    Grants permission to list conference providers under a specific AWS account
Alexa for Business                                       a4b:ListDeviceEvents                                                             List                    Grants permission to list the device event history, including device connection status, for up to 30 days
Alexa for Business                                       a4b:ListGatewayGroups                                                            List                    Grants permission to list gateway group summaries
Alexa for Business                                       a4b:ListGateways                                                                 List                    Grants permission to list gateway summaries
Alexa for Business                                       a4b:ListSkills                                                                   List                    Grants permission to list skills
Alexa for Business                                       a4b:ListSkillsStoreCategories                                                    List                    Grants permission to list all categories in the Alexa skill store
