#TYPE AwsService
"ServiceShortName","ServiceName","Actions","ARNFormat","ARNRegex","conditionKeys","HasResource","DocLink"
"a4b","Alexa for Business","[""ApproveSkill"",""AssociateContactWithAddressBook"",""AssociateDeviceWithNetworkProfile"",""AssociateDeviceWithRoom"",""AssociateSkillGroupWithRoom"",""AssociateSkillWithSkillGroup"",""AssociateSkillWithUsers"",""CompleteRegistration"",""CreateAddressBook"",""CreateBusinessReportSchedule"",""CreateConferenceProvider"",""CreateContact"",""CreateGatewayGroup"",""CreateNetworkProfile"",""CreateProfile"",""CreateRoom"",""CreateSkillGroup"",""CreateUser"",""DeleteAddressBook"",""DeleteBusinessReportSchedule"",""DeleteConferenceProvider"",""DeleteContact"",""DeleteDevice"",""DeleteDeviceUsageData"",""DeleteGatewayGroup"",""DeleteNetworkProfile"",""DeleteProfile"",""DeleteRoom"",""DeleteRoomSkillParameter"",""DeleteSkillAuthorization"",""DeleteSkillGroup"",""DeleteUser"",""DisassociateContactFromAddressBook"",""DisassociateDeviceFromRoom"",""DisassociateSkillFromSkillGroup"",""DisassociateSkillFromUsers"",""DisassociateSkillGroupFromRoom"",""ForgetSmartHomeAppliances"",""GetAddressBook"",""GetConferencePreference"",""GetConferenceProvider"",""GetContact"",""GetDevice"",""GetGateway"",""GetGatewayGroup"",""GetInvitationConfiguration"",""GetNetworkProfile"",""GetProfile"",""GetRoom"",""GetRoomSkillParameter"",""GetSkillGroup"",""ListBusinessReportSchedules"",""ListConferenceProviders"",""ListDeviceEvents"",""ListGatewayGroups"",""ListGateways"",""ListSkills"",""ListSkillsStoreCategories"",""ListSkillsStoreSkillsByCategory"",""ListSmartHomeAppliances"",""ListTags"",""PutConferencePreference"",""PutDeviceSetupEvents"",""PutInvitationConfiguration"",""PutRoomSkillParameter"",""PutSkillAuthorization"",""RegisterAVSDevice"",""RegisterDevice"",""RejectSkill"",""ResolveRoom"",""RevokeInvitation"",""SearchAddressBooks"",""SearchContacts"",""SearchDevices"",""SearchNetworkProfiles"",""SearchProfiles"",""SearchRooms"",""SearchSkillGroups"",""SearchUsers"",""SendAnnouncement"",""SendInvitation"",""StartDeviceSync"",""StartSmartHomeApplianceDiscovery"",""TagResource"",""UntagResource"",""UpdateAddressBook"",""UpdateBusinessReportSchedule"",""UpdateConferenceProvider"",""UpdateContact"",""UpdateDevice"",""UpdateGateway"",""UpdateGatewayGroup"",""UpdateNetworkProfile"",""UpdateProfile"",""UpdateRoom"",""UpdateSkillGroup""]","arn:aws:a4b:${Region}:${Account}:${ResourceType}/${ResourceId}","^arn:aws:a4b:.+:.+:.+","[""a4b:amazonId"",""a4b:filters_deviceType"",""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"execute-api","Amazon API Gateway","[""InvalidateCache"",""Invoke"",""ManageConnections""]","arn:aws:execute-api:<region>:<account_id>:<api_id>/<stage>/<method>/<api_specific_resource_path>","^arn:aws:execute-api:.+","","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonapigateway.html"
"apigateway","Amazon API Gateway Management","[""AddCertificateToDomain"",""DELETE"",""GET"",""PATCH"",""POST"",""PUT"",""RemoveCertificateFromDomain"",""SetWebACL"",""UpdateRestApiPolicy""]","arn:aws:apigateway:${Region}::${ApiGatewayResourcePath}","^arn:aws:apigateway:.+","[""apigateway:Request/AccessLoggingDestination"",""apigateway:Request/AccessLoggingFormat"",""apigateway:Request/ApiKeyRequired"",""apigateway:Request/ApiName"",""apigateway:Request/AuthorizerType"",""apigateway:Request/AuthorizerUri"",""apigateway:Request/DisableExecuteApiEndpoint"",""apigateway:Request/EndpointType"",""apigateway:Request/MtlsTrustStoreUri"",""apigateway:Request/MtlsTrustStoreVersion"",""apigateway:Request/RouteAuthorizationType"",""apigateway:Request/SecurityPolicy"",""apigateway:Request/StageName"",""apigateway:Resource/AccessLoggingDestination"",""apigateway:Resource/AccessLoggingFormat"",""apigateway:Resource/ApiKeyRequired"",""apigateway:Resource/ApiName"",""apigateway:Resource/AuthorizerType"",""apigateway:Resource/AuthorizerUri"",""apigateway:Resource/DisableExecuteApiEndpoint"",""apigateway:Resource/EndpointType"",""apigateway:Resource/MtlsTrustStoreUri"",""apigateway:Resource/MtlsTrustStoreVersion"",""apigateway:Resource/RouteAuthorizationType"",""apigateway:Resource/SecurityPolicy"",""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonapigatewaymanagement.html"
"apigateway","Amazon API Gateway Management V2","[""DELETE"",""GET"",""PATCH"",""POST"",""PUT""]","arn:aws:apigateway:${Region}::${ApiGatewayResourcePath}","^arn:aws:apigateway:.+","[""apigateway:Request/AccessLoggingDestination"",""apigateway:Request/AccessLoggingFormat"",""apigateway:Request/ApiKeyRequired"",""apigateway:Request/ApiName"",""apigateway:Request/AuthorizerType"",""apigateway:Request/AuthorizerUri"",""apigateway:Request/DisableExecuteApiEndpoint"",""apigateway:Request/EndpointType"",""apigateway:Request/MtlsTrustStoreUri"",""apigateway:Request/MtlsTrustStoreVersion"",""apigateway:Request/RouteAuthorizationType"",""apigateway:Request/SecurityPolicy"",""apigateway:Request/StageName"",""apigateway:Resource/AccessLoggingDestination"",""apigateway:Resource/AccessLoggingFormat"",""apigateway:Resource/ApiKeyRequired"",""apigateway:Resource/ApiName"",""apigateway:Resource/AuthorizerType"",""apigateway:Resource/AuthorizerUri"",""apigateway:Resource/DisableExecuteApiEndpoint"",""apigateway:Resource/EndpointType"",""apigateway:Resource/MtlsTrustStoreUri"",""apigateway:Resource/MtlsTrustStoreVersion"",""apigateway:Resource/RouteAuthorizationType"",""apigateway:Resource/SecurityPolicy"",""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonapigatewaymanagementv2.html"
"appflow","Amazon AppFlow","[""CreateConnectorProfile"",""CreateFlow"",""DeleteConnectorProfile"",""DeleteFlow"",""DescribeConnector"",""DescribeConnectorEntity"",""DescribeConnectorFields"",""DescribeConnectorProfiles"",""DescribeConnectors"",""DescribeFlow"",""DescribeFlowExecution"",""DescribeFlowExecutionRecords"",""DescribeFlows"",""ListConnectorEntities"",""ListConnectorFields"",""ListConnectors"",""ListFlows"",""ListTagsForResource"",""RegisterConnector"",""RunFlow"",""StartFlow"",""StopFlow"",""TagResource"",""UnRegisterConnector"",""UntagResource"",""UpdateConnectorProfile"",""UpdateConnectorRegistration"",""UpdateFlow"",""UseConnectorProfile""]","arn:aws:appflow:${Region}:${Account}:${ResourceType}/${ResourceName}","^arn:aws:appflow:.+:.+:.+","[""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonappflow.html"
"app-integrations","Amazon AppIntegrations","[""CreateDataIntegration"",""CreateDataIntegrationAssociation"",""CreateEventIntegration"",""CreateEventIntegrationAssociation"",""DeleteDataIntegration"",""DeleteDataIntegrationAssociation"",""DeleteEventIntegration"",""DeleteEventIntegrationAssociation"",""GetDataIntegration"",""GetEventIntegration"",""ListDataIntegrationAssociations"",""ListDataIntegrations"",""ListEventIntegrationAssociations"",""ListEventIntegrations"",""ListTagsForResource"",""TagResource"",""UntagResource"",""UpdateDataIntegration"",""UpdateEventIntegration""]","arn:aws:app-integrations:${Region}:${Account}:${ResourceType}/${ResourceName}","^arn:aws:app-integrations:.+:.+:.+","[""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonappintegrations.html"
"appstream","Amazon AppStream 2.0","[""AssociateApplicationFleet"",""AssociateApplicationToEntitlement"",""AssociateFleet"",""BatchAssociateUserStack"",""BatchDisassociateUserStack"",""CopyImage"",""CreateAppBlock"",""CreateApplication"",""CreateDirectoryConfig"",""CreateEntitlement"",""CreateFleet"",""CreateImageBuilder"",""CreateImageBuilderStreamingURL"",""CreateStack"",""CreateStreamingURL"",""CreateUpdatedImage"",""CreateUsageReportSubscription"",""CreateUser"",""DeleteAppBlock"",""DeleteApplication"",""DeleteDirectoryConfig"",""DeleteEntitlement"",""DeleteFleet"",""DeleteImage"",""DeleteImageBuilder"",""DeleteImagePermissions"",""DeleteStack"",""DeleteUsageReportSubscription"",""DeleteUser"",""DescribeAppBlocks"",""DescribeApplicationFleetAssociations"",""DescribeApplications"",""DescribeDirectoryConfigs"",""DescribeEntitlements"",""DescribeFleets"",""DescribeImageBuilders"",""DescribeImagePermissions"",""DescribeImages"",""DescribeSessions"",""DescribeStacks"",""DescribeUsageReportSubscriptions"",""DescribeUserStackAssociations"",""DescribeUsers"",""DisableUser"",""DisassociateApplicationFleet"",""DisassociateApplicationFromEntitlement"",""DisassociateFleet"",""EnableUser"",""ExpireSession"",""ListAssociatedFleets"",""ListAssociatedStacks"",""ListEntitledApplications"",""ListTagsForResource"",""StartFleet"",""StartImageBuilder"",""StopFleet"",""StopImageBuilder"",""Stream"",""TagResource"",""UntagResource"",""UpdateApplication"",""UpdateDirectoryConfig"",""UpdateEntitlement"",""UpdateFleet"",""UpdateImagePermissions"",""UpdateStack""]","arn:aws:appstream:${Region}:${Account}:${ResourceType}/${ResourcePath}","^arn:aws:appstream:.+","[""appstream:userId"",""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonappstream2.0.html"
"athena","Amazon Athena","[""BatchGetNamedQuery"",""BatchGetPreparedStatement"",""BatchGetQueryExecution"",""CreateDataCatalog"",""CreateNamedQuery"",""CreateNotebook"",""CreatePreparedStatement"",""CreatePresignedNotebookUrl"",""CreateWorkGroup"",""DeleteDataCatalog"",""DeleteNamedQuery"",""DeleteNotebook"",""DeletePreparedStatement"",""DeleteWorkGroup"",""ExportNotebook"",""GetCalculationExecution"",""GetCalculationExecutionCode"",""GetCalculationExecutionStatus"",""GetDataCatalog"",""GetDatabase"",""GetNamedQuery"",""GetNotebookMetadata"",""GetPreparedStatement"",""GetQueryExecution"",""GetQueryResults"",""GetQueryResultsStream"",""GetQueryRuntimeStatistics"",""GetSession"",""GetSessionStatus"",""GetTableMetadata"",""GetWorkGroup"",""ImportNotebook"",""ListApplicationDPUSizes"",""ListCalculationExecutions"",""ListDataCatalogs"",""ListDatabases"",""ListEngineVersions"",""ListExecutors"",""ListNamedQueries"",""ListNotebookMetadata"",""ListNotebookSessions"",""ListPreparedStatements"",""ListQueryExecutions"",""ListSessions"",""ListTableMetadata"",""ListTagsForResource"",""ListWorkGroups"",""StartCalculationExecution"",""StartQueryExecution"",""StartSession"",""StopCalculationExecution"",""StopQueryExecution"",""TagResource"",""TerminateSession"",""UntagResource"",""UpdateDataCatalog"",""UpdateNamedQuery"",""UpdateNotebook"",""UpdateNotebookMetadata"",""UpdatePreparedStatement"",""UpdateWorkGroup""]","arn:aws:athena:${Region}:${Account}:${ResourceType}/${ResourcePath}","^arn:aws:athena:.+","[""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonathena.html"
"braket","Amazon Braket","[""CancelJob"",""CancelQuantumTask"",""CreateJob"",""CreateQuantumTask"",""GetDevice"",""GetJob"",""GetQuantumTask"",""ListTagsForResource"",""SearchDevices"",""SearchJobs"",""SearchQuantumTasks"",""TagResource"",""UntagResource""]","arn:aws:braket:{$Region}:{$AccountI}>:.+","^arn:aws:braket::.+","[""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonbraket.html"
"chime","Amazon Chime","[""AcceptDelegate"",""ActivateUsers"",""AddDomain"",""AddOrUpdateGroups"",""AssociateChannelFlow"",""AssociatePhoneNumberWithUser"",""AssociatePhoneNumbersWithVoiceConnector"",""AssociatePhoneNumbersWithVoiceConnectorGroup"",""AssociateSigninDelegateGroupsWithAccount"",""AuthorizeDirectory"",""BatchCreateAttendee"",""BatchCreateChannelMembership"",""BatchCreateRoomMembership"",""BatchDeletePhoneNumber"",""BatchSuspendUser"",""BatchUnsuspendUser"",""BatchUpdateAttendeeCapabilitiesExcept"",""BatchUpdatePhoneNumber"",""BatchUpdateUser"",""ChannelFlowCallback"",""Connect"",""ConnectDirectory"",""CreateAccount"",""CreateApiKey"",""CreateAppInstance"",""CreateAppInstanceAdmin"",""CreateAppInstanceUser"",""CreateAttendee"",""CreateBot"",""CreateCDRBucket"",""CreateChannel"",""CreateChannelBan"",""CreateChannelFlow"",""CreateChannelMembership"",""CreateChannelModerator"",""CreateMediaCapturePipeline"",""CreateMediaConcatenationPipeline"",""CreateMediaLiveConnectorPipeline"",""CreateMeeting"",""CreateMeetingDialOut"",""CreateMeetingWithAttendees"",""CreatePhoneNumberOrder"",""CreateProxySession"",""CreateRoom"",""CreateRoomMembership"",""CreateSipMediaApplication"",""CreateSipMediaApplicationCall"",""CreateSipRule"",""CreateUser"",""CreateVoiceConnector"",""CreateVoiceConnectorGroup"",""DeleteAccount"",""DeleteAccountOpenIdConfig"",""DeleteApiKey"",""DeleteAppInstance"",""DeleteAppInstanceAdmin"",""DeleteAppInstanceStreamingConfigurations"",""DeleteAppInstanceUser"",""DeleteAttendee"",""DeleteCDRBucket"",""DeleteChannel"",""DeleteChannelBan"",""DeleteChannelFlow"",""DeleteChannelMembership"",""DeleteChannelMessage"",""DeleteChannelModerator"",""DeleteDelegate"",""DeleteDomain"",""DeleteEventsConfiguration"",""DeleteGroups"",""DeleteMediaCapturePipeline"",""DeleteMediaPipeline"",""DeleteMeeting"",""DeletePhoneNumber"",""DeleteProxySession"",""DeleteRoom"",""DeleteRoomMembership"",""DeleteSipMediaApplication"",""DeleteSipRule"",""DeleteVoiceConnector"",""DeleteVoiceConnectorEmergencyCallingConfiguration"",""DeleteVoiceConnectorGroup"",""DeleteVoiceConnectorOrigination"",""DeleteVoiceConnectorProxy"",""DeleteVoiceConnectorStreamingConfiguration"",""DeleteVoiceConnectorTermination"",""DeleteVoiceConnectorTerminationCredentials"",""DeregisterAppInstanceUserEndpoint"",""DescribeAppInstance"",""DescribeAppInstanceAdmin"",""DescribeAppInstanceUser"",""DescribeAppInstanceUserEndpoint"",""DescribeChannel"",""DescribeChannelBan"",""DescribeChannelFlow"",""DescribeChannelMembership"",""DescribeChannelMembershipForAppInstanceUser"",""DescribeChannelModeratedByAppInstanceUser"",""DescribeChannelModerator"",""DisassociateChannelFlow"",""DisassociatePhoneNumberFromUser"",""DisassociatePhoneNumbersFromVoiceConnector"",""DisassociatePhoneNumbersFromVoiceConnectorGroup"",""DisassociateSigninDelegateGroupsFromAccount"",""DisconnectDirectory"",""GetAccount"",""GetAccountResource"",""GetAccountSettings"",""GetAccountWithOpenIdConfig"",""GetAppInstanceRetentionSettings"",""GetAppInstanceStreamingConfigurations"",""GetAttendee"",""GetBot"",""GetCDRBucket"",""GetChannelMembershipPreferences"",""GetChannelMessage"",""GetChannelMessageStatus"",""GetDomain"",""GetEventsConfiguration"",""GetGlobalSettings"",""GetMediaCapturePipeline"",""GetMediaPipeline"",""GetMeeting"",""GetMeetingDetail"",""GetMessagingSessionEndpoint"",""GetPhoneNumber"",""GetPhoneNumberOrder"",""GetPhoneNumberSettings"",""GetProxySession"",""GetRetentionSettings"",""GetRoom"",""GetSipMediaApplication"",""GetSipMediaApplicationAlexaSkillConfiguration"",""GetSipMediaApplicationLoggingConfiguration"",""GetSipRule"",""GetTelephonyLimits"",""GetUser"",""GetUserActivityReportData"",""GetUserByEmail"",""GetUserSettings"",""GetVoiceConnector"",""GetVoiceConnectorEmergencyCallingConfiguration"",""GetVoiceConnectorGroup"",""GetVoiceConnectorLoggingConfiguration"",""GetVoiceConnectorOrigination"",""GetVoiceConnectorProxy"",""GetVoiceConnectorStreamingConfiguration"",""GetVoiceConnectorTermination"",""GetVoiceConnectorTerminationHealth"",""InviteDelegate"",""InviteUsers"",""InviteUsersFromProvider"",""ListAccountUsageReportData"",""ListAccounts"",""ListApiKeys"",""ListAppInstanceAdmins"",""ListAppInstanceUserEndpoints"",""ListAppInstanceUsers"",""ListAppInstances"",""ListAttendeeTags"",""ListAttendees"",""ListAvailableVoiceConnectorRegions"",""ListBots"",""ListCDRBucket"",""ListCallingRegions"",""ListChannelBans"",""ListChannelFlows"",""ListChannelMemberships"",""ListChannelMembershipsForAppInstanceUser"",""ListChannelMessages"",""ListChannelModerators"",""ListChannels"",""ListChannelsAssociatedWithChannelFlow"",""ListChannelsModeratedByAppInstanceUser"",""ListDelegates"",""ListDirectories"",""ListDomains"",""ListGroups"",""ListMediaCapturePipelines"",""ListMediaPipelines"",""ListMeetingEvents"",""ListMeetingTags"",""ListMeetings"",""ListMeetingsReportData"",""ListPhoneNumberOrders"",""ListPhoneNumbers"",""ListProxySessions"",""ListRoomMemberships"",""ListRooms"",""ListSipMediaApplications"",""ListSipRules"",""ListSubChannels"",""ListSupportedPhoneNumberCountries"",""ListTagsForResource"",""ListUsers"",""ListVoiceConnectorGroups"",""ListVoiceConnectorTerminationCredentials"",""ListVoiceConnectors"",""LogoutUser"",""PutAppInstanceRetentionSettings"",""PutAppInstanceStreamingConfigurations"",""PutChannelMembershipPreferences"",""PutEventsConfiguration"",""PutRetentionSettings"",""PutSipMediaApplicationAlexaSkillConfiguration"",""PutSipMediaApplicationLoggingConfiguration"",""PutVoiceConnectorEmergencyCallingConfiguration"",""PutVoiceConnectorLoggingConfiguration"",""PutVoiceConnectorOrigination"",""PutVoiceConnectorProxy"",""PutVoiceConnectorStreamingConfiguration"",""PutVoiceConnectorTermination"",""PutVoiceConnectorTerminationCredentials"",""RedactChannelMessage"",""RedactConversationMessage"",""RedactRoomMessage"",""RegenerateSecurityToken"",""RegisterAppInstanceUserEndpoint"",""RenameAccount"",""RenewDelegate"",""ResetAccountResource"",""ResetPersonalPIN"",""RestorePhoneNumber"",""RetrieveDataExports"",""SearchAvailablePhoneNumbers"",""SearchChannels"",""SendChannelMessage"",""StartDataExport"",""StartMeetingTranscription"",""StopMeetingTranscription"",""SubmitSupportRequest"",""SuspendUsers"",""TagAttendee"",""TagMeeting"",""TagResource"",""UnauthorizeDirectory"",""UntagAttendee"",""UntagMeeting"",""UntagResource"",""UpdateAccount"",""UpdateAccountOpenIdConfig"",""UpdateAccountResource"",""UpdateAccountSettings"",""UpdateAppInstance"",""UpdateAppInstanceUser"",""UpdateAppInstanceUserEndpoint"",""UpdateAttendeeCapabilities"",""UpdateBot"",""UpdateCDRSettings"",""UpdateChannel"",""UpdateChannelFlow"",""UpdateChannelMessage"",""UpdateChannelReadMarker"",""UpdateGlobalSettings"",""UpdatePhoneNumber"",""UpdatePhoneNumberSettings"",""UpdateProxySession"",""UpdateRoom"",""UpdateRoomMembership"",""UpdateSipMediaApplication"",""UpdateSipMediaApplicationCall"",""UpdateSipRule"",""UpdateSupportedLicenses"",""UpdateUser"",""UpdateUserLicenses"",""UpdateUserSettings"",""UpdateVoiceConnector"",""UpdateVoiceConnectorGroup"",""ValidateAccountResource"",""ValidateE911Address""]","arn:aws:chime:${Region}:${Account}:${ResourceType}/${ResourceID}","^arn:aws:chime:.+","[""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonchime.html"
