ServiceName                                              ServiceShortName          ARNFormat
Alexa for Business                                       a4b                       arn:aws:a4b:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon API Gateway                                       execute-api               arn:aws:execute-api:<region>:<account_id>:<api_id>/<stage>/<method>/<api_specific_resource_path>
Amazon API Gateway Management                            apigateway                arn:aws:apigateway:${Region}::${ApiGatewayResourcePath}
Amazon API Gateway Management V2                         apigateway                arn:aws:apigateway:${Region}::${ApiGatewayResourcePath}
Amazon AppFlow                                           appflow                   arn:aws:appflow:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon AppIntegrations                                   app-integrations          arn:aws:app-integrations:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon AppStream 2.0                                     appstream                 arn:aws:appstream:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon Athena                                            athena                    arn:aws:athena:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon Bedrock                                           bedrock                   arn:aws:bedrock:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Braket                                            braket                    arn:aws:braket:${Region}:${Account}:.+
Amazon Chime                                             chime                     arn:aws:chime:${Region}:${Account}:${ResourceType}/${ResourceID}
Amazon Cloud Directory                                   clouddirectory            arn:aws:clouddirectory::${Region}:${Account}:${RelativeId}
Amazon CloudFront                                        cloudfront                arn:aws:cloudfront:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon CloudFront KeyValueStore                          cloudfront-keyvaluestore  arn:aws:cloudfront:${Region}:${Account}:key-value-store/${ResourceId}
Amazon CloudSearch                                       cloudsearch               arn:aws:cloudsearch:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon CloudWatch                                        cloudwatch                arn:aws:cloudwatch:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon CloudWatch Application Insights                   applicationinsights       
Amazon CloudWatch Application Signals                    application-signals       arn:aws:application-signals:${Region}:${Account}:slo/{ServiceLevelObjectivesName}
Amazon CloudWatch Evidently                              evidently                 arn:aws:evidently:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon CloudWatch Internet Monitor                       internetmonitor           arn:aws:internetmonitor:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon CloudWatch Logs                                   logs                      arn:aws:logs:${Region}:${Account}:.+
Amazon CloudWatch Network Monitor                        networkmonitor            arn:aws:networkmonitor:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon CloudWatch Observability Access Manager           oam                       arn:aws:oam:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon CloudWatch Synthetics                             synthetics                arn:aws:synthetics:${Region}:${Account}:${ResourceType}:${ResourceName}
Amazon CodeCatalyst                                      codecatalyst              arn:aws:codecatalyst:${Region}:${Account}:${RelativeId}
Amazon CodeGuru                                          codeguru                  arn:${Partition}:codeguru:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon CodeGuru Profiler                                 codeguru-profiler         arn:aws:codeguru-profiler:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon CodeGuru Reviewer                                 codeguru-reviewer         arn:aws:codeguru-reviewer:${Region}:${Account}:${ResourceType}:${ResourceName}
Amazon CodeGuru Security                                 codeguru-security         arn:aws:codeguru-security:${Region}:${Account}:*
Amazon CodeWhisperer                                     codewhisperer             arn:aws:codewhisperer:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Cognito Identity                                  cognito-identity          arn:aws:cognito-identity:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon Cognito Sync                                      cognito-sync              arn:aws:cognito-sync:${Region}:${Account}:${ResourceType}/${ResourcePath}:
Amazon Cognito User Pools                                cognito-idp               arn:aws:cognito-idp:${Region}:${Account}:${ResourceType}/${ResourcePath}:
Amazon Comprehend                                        comprehend                arn:aws:comprehend:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Comprehend Medical                                comprehendmedical         arn:${Partition}:comprehendmedical:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Connect                                           connect                   arn:aws:connect:${Region}:${Account}:instance/${InstanceId}
Amazon Connect Cases                                     cases                     arn:aws:cases:${Region}:${Account}:domain/${DomainId}
Amazon Connect Customer Profiles                         profile                   arn:aws:profile:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Connect Voice ID                                  voiceid                   arn:aws:voiceid:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Data Lifecycle Manager                            dlm                       arn:aws:dlm:${Region}:${Account}:policy/${ResourceName}
Amazon DataZone                                          datazone                  arn:aws:datazone:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Detective                                         detective                 arn:aws:detective:${Region}:${Account}:graph:${GraphId}
Amazon DevOps Guru                                       devops-guru               arn:aws:devops-guru:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon DocumentDB Elastic Clusters                       docdb-elastic             arn:aws:docdb-elastic:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon DynamoDB                                          dynamodb                  arn:aws:dynamodb:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon DynamoDB Accelerator (DAX)                        dax                       arn:aws:dax:${Region}:${Account}:cache/${ClusterName}
Amazon EC2                                               ec2                       arn:aws:ec2:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon EC2 Auto Scaling                                  autoscaling               arn:aws:autoscaling:${Region}:${Account}:${RelativeId}
Amazon EC2 Image Builder                                 imagebuilder              arn:aws:imagebuilder:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon EC2 Instance Connect                              ec2-instance-connect      arn:aws:ec2:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon EKS Auth                                          eks-auth                  arn:aws:eks:${Region}:${Account}:${ResourceType}/${RelativeId}
Amazon Elastic Block Store                               ebs                       arn:aws:ebs:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon Elastic Container Registry                        ecr                       arn:aws:ecr:${Region}:${Account}:repository/${RepositoryName}
Amazon Elastic Container Registry Public                 ecr-public                arn:aws:ecr-public::${Account}:${RepositoryOrRegistry}/${RepositoryNameOrAccountId}
Amazon Elastic Container Service                         ecs                       arn:aws:ecs:${Region}:${Account}:${ResourceType}/${RelativeId}
Amazon Elastic File System                               elasticfilesystem         arn:aws:elasticfilesystem:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon Elastic Inference                                 elastic-inference         arn:aws:elastic-inference:<region>:<account-id>:elastic-inference-accelerator/<identifier>
Amazon Elastic Kubernetes Service                        eks                       arn:aws:eks:${Region}:${Account}:${ResourceType}/${RelativeId}
Amazon Elastic MapReduce                                 elasticmapreduce          arn:aws:elasticmapreduce:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Elastic Transcoder                                elastictranscoder         arn:aws:elastictranscoder:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon ElastiCache                                       elasticache               arn:aws:elasticache:${Region}:${Account}:${ResourceType}:${ResourceName}
Amazon EMR on EKS (EMR Containers)                       emr-containers            arn:aws:emr-containers:${Region}:${Account}:/${ResourceType}/${ResourcePath}
Amazon EMR Serverless                                    emr-serverless            arn:aws:emr-serverless:${Region}:${Account}:/${ResourceType}/${ResourcePath}
Amazon EventBridge                                       events                    arn:aws:events:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon EventBridge Pipes                                 pipes                     arn:aws:pipes:${Region}:${Account}:pipe/${PipeName}
Amazon EventBridge Scheduler                             scheduler                 arn:aws:scheduler:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon EventBridge Schemas                               schemas                   arn:aws:schemas:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon FinSpace                                          finspace                  arn:aws:finspace:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon FinSpace API                                      finspace-api              arn:aws:finspace-api:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon Forecast                                          forecast                  arn:aws:forecast:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Fraud Detector                                    frauddetector             arn:aws:frauddetector:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon FreeRTOS                                          freertos                  arn:aws:freertos:${Region}:${Account}:${Type}/${Name}
Amazon FSx                                               fsx                       arn:aws:fsx:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon GameLift                                          gamelift                  arn:aws:gamelift:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon GroundTruth Labeling                              groundtruthlabeling       arn:${Partition}:groundtruthlabeling:${Region}:${Account}:${ResourceType}/${ResourcePath}
Amazon GuardDuty                                         guardduty                 arn:aws:guardduty:${Region}:${Account}:.+
Amazon Honeycode                                         honeycode                 arn:aws:honeycode:${Region}:${Account}:${ResourceType}:${ResourcePath}
Amazon Inspector                                         inspector                 
Amazon Inspector2                                        inspector2                arn:aws:inspector2:${Region}:${Account}:.+
Amazon InspectorScan                                     inspector-scan            
Amazon Interactive Video Service                         ivs                       arn:aws:ivs:${Region}:${Account}:${ArnType}/${ResourceId}
Amazon Interactive Video Service Chat                    ivschat                   arn:aws:ivschat:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Kendra                                            kendra                    arn:aws:kendra:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Kendra Intelligent Ranking                        kendra-ranking            arn:aws:kendra-ranking:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Keyspaces (for Apache Cassandra)                  cassandra                 arn:aws:cassandra:${Region}:${Account}:/${ResourceType}/${ResourcePath}/
Amazon Kinesis Analytics                                 kinesisanalytics          arn:aws:kinesisanalytics:${Region}:${Account}:application/${ApplicationName}
Amazon Kinesis Analytics V2                              kinesisanalytics          arn:aws:kinesisanalytics:${Region}:${Account}:application/${ApplicationName}
Amazon Kinesis Data Streams                              kinesis                   arn:aws:kinesis:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Kinesis Firehose                                  firehose                  arn:aws:firehose:{Region}:{Account}:deliverystream/${DeliveryStreamName}
Amazon Kinesis Video Streams                             kinesisvideo              arn:aws:kinesisvideo:${Region}:${Account}:${ResourceType}/${ResourceName}/${CreationTime}
Amazon Lex                                               lex                       arn:aws:lex:${Region}:${Account}:${Type}:${Name}
Amazon Lex V2                                            lex                       arn:aws:lex:${Region}:${Account}:${ResourceType}/${ResourceId}
Amazon Lightsail                                         lightsail                 arn:aws:lightsail:${Region}:${Account}:${ResourceType}/${Id}
Amazon Location                                          geo                       arn:aws:geo:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Lookout for Equipment                             lookoutequipment          arn:aws:lookoutequipment:${Region}:${Account}:${ResourceType}/${ResourceName}/${ResourceId}
Amazon Lookout for Metrics                               lookoutmetrics            arn:aws:lookoutmetrics:${Region}:${AccountId}:${ResourceType}:${ResourceName}
Amazon Lookout for Vision                                lookoutvision             arn:aws:lookoutvision:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Machine Learning                                  machinelearning           arn:aws:machinelearning:${Region}:${Account}:${ResourceType}/${RelativeID}
Amazon Macie                                             macie2                    arn:aws:macie2:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Managed Blockchain                                managedblockchain         arn:aws:managedblockchain:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Managed Blockchain Query                          managedblockchain-query   arn:${Partition}:managedblockchain-query:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Managed Grafana                                   grafana                   arn:aws:grafana:${Region}:${Account}:/${ResourceType}/${ResourceId}
Amazon Managed Service for Prometheus                    aps                       arn:aws:aps:${Region}:${Account}:${ResourceType}/${ResourceName}
Amazon Managed Streaming for Apache Kafka                kafka                     arn:aws:kafka:${Region}:${Account}:${ResourceType}/${ResourceName}/${Uuid}
Amazon Managed Streaming for Kafka Connect               kafkaconnect              arn:aws:kafkaconnect:${Region}:${Account}:${ResourceType}/${ResourceName}/${UUID}
