#TYPE AwsService
"ServiceShortName","ServiceName","Actions","ARNFormat","ARNRegex","conditionKeys","HasResource","DocLink"
"a4b","Alexa for Business","[""ApproveSkill"",""AssociateContactWithAddressBook"",""AssociateDeviceWithNetworkProfile"",""AssociateDeviceWithRoom"",""AssociateSkillGroupWithRoom"",""AssociateSkillWithSkillGroup"",""AssociateSkillWithUsers"",""CompleteRegistration"",""CreateAddressBook"",""CreateBusinessReportSchedule"",""CreateConferenceProvider"",""CreateContact"",""CreateGatewayGroup"",""CreateNetworkProfile"",""CreateProfile"",""CreateRoom"",""CreateSkillGroup"",""CreateUser"",""DeleteAddressBook"",""DeleteBusinessReportSchedule"",""DeleteConferenceProvider"",""DeleteContact"",""DeleteDevice"",""DeleteDeviceUsageData"",""DeleteGatewayGroup"",""DeleteNetworkProfile"",""DeleteProfile"",""DeleteRoom"",""DeleteRoomSkillParameter"",""DeleteSkillAuthorization"",""DeleteSkillGroup"",""DeleteUser"",""DisassociateContactFromAddressBook"",""DisassociateDeviceFromRoom"",""DisassociateSkillFromSkillGroup"",""DisassociateSkillFromUsers"",""DisassociateSkillGroupFromRoom"",""ForgetSmartHomeAppliances"",""GetAddressBook"",""GetConferencePreference"",""GetConferenceProvider"",""GetContact"",""GetDevice"",""GetGateway"",""GetGatewayGroup"",""GetInvitationConfiguration"",""GetNetworkProfile"",""GetProfile"",""GetRoom"",""GetRoomSkillParameter"",""GetSkillGroup"",""ListBusinessReportSchedules"",""ListConferenceProviders"",""ListDeviceEvents"",""ListGatewayGroups"",""ListGateways"",""ListSkills"",""ListSkillsStoreCategories"",""ListSkillsStoreSkillsByCategory"",""ListSmartHomeAppliances"",""ListTags"",""PutConferencePreference"",""PutDeviceSetupEvents"",""PutInvitationConfiguration"",""PutRoomSkillParameter"",""PutSkillAuthorization"",""RegisterAVSDevice"",""RegisterDevice"",""RejectSkill"",""ResolveRoom"",""RevokeInvitation"",""SearchAddressBooks"",""SearchContacts"",""SearchDevices"",""SearchNetworkProfiles"",""SearchProfiles"",""SearchRooms"",""SearchSkillGroups"",""SearchUsers"",""SendAnnouncement"",""SendInvitation"",""StartDeviceSync"",""StartSmartHomeApplianceDiscovery"",""TagResource"",""UntagResource"",""UpdateAddressBook"",""UpdateBusinessReportSchedule"",""UpdateConferenceProvider"",""UpdateContact"",""UpdateDevice"",""UpdateGateway"",""UpdateGatewayGroup"",""UpdateNetworkProfile"",""UpdateProfile"",""UpdateRoom"",""UpdateSkillGroup""]","arn:aws:a4b:${Region}:${Account}:${ResourceType}/${ResourceId}","^arn:aws:a4b:.+:.+:.+","[""a4b:amazonId"",""a4b:filters_deviceType"",""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_alexaforbusiness.html"
"execute-api","Amazon API Gateway","[""InvalidateCache"",""Invoke"",""ManageConnections""]","arn:aws:execute-api:<region>:<account_id>:<api_id>/<stage>/<method>/<api_specific_resource_path>","^arn:aws:execute-api:.+","","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonapigateway.html"
"apigateway","Amazon API Gateway Management","[""AddCertificateToDomain"",""DELETE"",""GET"",""PATCH"",""POST"",""PUT"",""RemoveCertificateFromDomain"",""SetWebACL"",""UpdateRestApiPolicy""]","arn:aws:apigateway:${Region}::${ApiGatewayResourcePath}","^arn:aws:apigateway:.+","[""apigateway:Request/AccessLoggingDestination"",""apigateway:Request/AccessLoggingFormat"",""apigateway:Request/ApiKeyRequired"",""apigateway:Request/ApiName"",""apigateway:Request/AuthorizerType"",""apigateway:Request/AuthorizerUri"",""apigateway:Request/DisableExecuteApiEndpoint"",""apigateway:Request/EndpointType"",""apigateway:Request/MtlsTrustStoreUri"",""apigateway:Request/MtlsTrustStoreVersion"",""apigateway:Request/RouteAuthorizationType"",""apigateway:Request/SecurityPolicy"",""apigateway:Request/StageName"",""apigateway:Resource/AccessLoggingDestination"",""apigateway:Resource/AccessLoggingFormat"",""apigateway:Resource/ApiKeyRequired"",""apigateway:Resource/ApiName"",""apigateway:Resource/AuthorizerType"",""apigateway:Resource/AuthorizerUri"",""apigateway:Resource/DisableExecuteApiEndpoint"",""apigateway:Resource/EndpointType"",""apigateway:Resource/MtlsTrustStoreUri"",""apigateway:Resource/MtlsTrustStoreVersion"",""apigateway:Resource/RouteAuthorizationType"",""apigateway:Resource/SecurityPolicy"",""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonapigatewaymanagement.html"
"apigateway","Amazon API Gateway Management V2","[""DELETE"",""GET"",""PATCH"",""POST"",""PUT""]","arn:aws:apigateway:${Region}::${ApiGatewayResourcePath}","^arn:aws:apigateway:.+","[""apigateway:Request/AccessLoggingDestination"",""apigateway:Request/AccessLoggingFormat"",""apigateway:Request/ApiKeyRequired"",""apigateway:Request/ApiName"",""apigateway:Request/AuthorizerType"",""apigateway:Request/AuthorizerUri"",""apigateway:Request/DisableExecuteApiEndpoint"",""apigateway:Request/EndpointType"",""apigateway:Request/MtlsTrustStoreUri"",""apigateway:Request/MtlsTrustStoreVersion"",""apigateway:Request/RouteAuthorizationType"",""apigateway:Request/SecurityPolicy"",""apigateway:Request/StageName"",""apigateway:Resource/AccessLoggingDestination"",""apigateway:Resource/AccessLoggingFormat"",""apigateway:Resource/ApiKeyRequired"",""apigateway:Resource/ApiName"",""apigateway:Resource/AuthorizerType"",""apigateway:Resource/AuthorizerUri"",""apigateway:Resource/DisableExecuteApiEndpoint"",""apigateway:Resource/EndpointType"",""apigateway:Resource/MtlsTrustStoreUri"",""apigateway:Resource/MtlsTrustStoreVersion"",""apigateway:Resource/RouteAuthorizationType"",""apigateway:Resource/SecurityPolicy"",""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonapigatewaymanagementv2.html"
"appflow","Amazon AppFlow","[""CancelFlowExecutions"",""CreateConnectorProfile"",""CreateFlow"",""DeleteConnectorProfile"",""DeleteFlow"",""DescribeConnector"",""DescribeConnectorEntity"",""DescribeConnectorFields"",""DescribeConnectorProfiles"",""DescribeConnectors"",""DescribeFlow"",""DescribeFlowExecution"",""DescribeFlowExecutionRecords"",""DescribeFlows"",""ListConnectorEntities"",""ListConnectorFields"",""ListConnectors"",""ListFlows"",""ListTagsForResource"",""RegisterConnector"",""ResetConnectorMetadataCache"",""RunFlow"",""StartFlow"",""StopFlow"",""TagResource"",""UnRegisterConnector"",""UntagResource"",""UpdateConnectorProfile"",""UpdateConnectorRegistration"",""UpdateFlow"",""UseConnectorProfile""]","arn:aws:appflow:${Region}:${Account}:${ResourceType}/${ResourceName}","^arn:aws:appflow:.+:.+:.+","[""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonappflow.html"
"app-integrations","Amazon AppIntegrations","[""CreateApplication"",""CreateApplicationAssociation"",""CreateDataIntegration"",""CreateDataIntegrationAssociation"",""CreateEventIntegration"",""CreateEventIntegrationAssociation"",""DeleteApplication"",""DeleteApplicationAssociation"",""DeleteDataIntegration"",""DeleteDataIntegrationAssociation"",""DeleteEventIntegration"",""DeleteEventIntegrationAssociation"",""GetApplication"",""GetDataIntegration"",""GetEventIntegration"",""ListApplicationAssociations"",""ListApplications"",""ListDataIntegrationAssociations"",""ListDataIntegrations"",""ListEventIntegrationAssociations"",""ListEventIntegrations"",""ListTagsForResource"",""TagResource"",""UntagResource"",""UpdateApplication"",""UpdateDataIntegration"",""UpdateDataIntegrationAssociation"",""UpdateEventIntegration""]","arn:aws:app-integrations:${Region}:${Account}:${ResourceType}/${ResourceName}","^arn:aws:app-integrations:.+:.+:.+","[""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonappintegrations.html"
"appstream","Amazon AppStream 2.0","[""AssociateAppBlockBuilderAppBlock"",""AssociateApplicationFleet"",""AssociateApplicationToEntitlement"",""AssociateFleet"",""BatchAssociateUserStack"",""BatchDisassociateUserStack"",""CopyImage"",""CreateAppBlock"",""CreateAppBlockBuilder"",""CreateAppBlockBuilderStreamingURL"",""CreateApplication"",""CreateDirectoryConfig"",""CreateEntitlement"",""CreateFleet"",""CreateImageBuilder"",""CreateImageBuilderStreamingURL"",""CreateStack"",""CreateStreamingURL"",""CreateThemeForStack"",""CreateUpdatedImage"",""CreateUsageReportSubscription"",""CreateUser"",""DeleteAppBlock"",""DeleteAppBlockBuilder"",""DeleteApplication"",""DeleteDirectoryConfig"",""DeleteEntitlement"",""DeleteFleet"",""DeleteImage"",""DeleteImageBuilder"",""DeleteImagePermissions"",""DeleteStack"",""DeleteThemeForStack"",""DeleteUsageReportSubscription"",""DeleteUser"",""DescribeAppBlockBuilderAppBlockAssociations"",""DescribeAppBlockBuilders"",""DescribeAppBlocks"",""DescribeApplicationFleetAssociations"",""DescribeApplications"",""DescribeDirectoryConfigs"",""DescribeEntitlements"",""DescribeFleets"",""DescribeImageBuilders"",""DescribeImagePermissions"",""DescribeImages"",""DescribeSessions"",""DescribeStacks"",""DescribeThemeForStack"",""DescribeUsageReportSubscriptions"",""DescribeUserStackAssociations"",""DescribeUsers"",""DisableUser"",""DisassociateAppBlockBuilderAppBlock"",""DisassociateApplicationFleet"",""DisassociateApplicationFromEntitlement"",""DisassociateFleet"",""EnableUser"",""ExpireSession"",""ListAssociatedFleets"",""ListAssociatedStacks"",""ListEntitledApplications"",""ListTagsForResource"",""StartAppBlockBuilder"",""StartFleet"",""StartImageBuilder"",""StopAppBlockBuilder"",""StopFleet"",""StopImageBuilder"",""Stream"",""TagResource"",""UntagResource"",""UpdateAppBlockBuilder"",""UpdateApplication"",""UpdateDirectoryConfig"",""UpdateEntitlement"",""UpdateFleet"",""UpdateImagePermissions"",""UpdateStack"",""UpdateThemeForStack""]","arn:aws:appstream:${Region}:${Account}:${ResourceType}/${ResourcePath}","^arn:aws:appstream:.+","[""appstream:userId"",""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonappstream2.0.html"
"athena","Amazon Athena","[""BatchGetNamedQuery"",""BatchGetPreparedStatement"",""BatchGetQueryExecution"",""CancelCapacityReservation"",""CancelQueryExecution"",""CreateCapacityReservation"",""CreateDataCatalog"",""CreateNamedQuery"",""CreateNotebook"",""CreatePreparedStatement"",""CreatePresignedNotebookUrl"",""CreateWorkGroup"",""DeleteCapacityReservation"",""DeleteDataCatalog"",""DeleteNamedQuery"",""DeleteNotebook"",""DeletePreparedStatement"",""DeleteWorkGroup"",""ExportNotebook"",""GetCalculationExecution"",""GetCalculationExecutionCode"",""GetCalculationExecutionStatus"",""GetCapacityAssignmentConfiguration"",""GetCapacityReservation"",""GetCatalogs"",""GetDataCatalog"",""GetDatabase"",""GetExecutionEngine"",""GetExecutionEngines"",""GetNamedQuery"",""GetNamespace"",""GetNamespaces"",""GetNotebookMetadata"",""GetPreparedStatement"",""GetQueryExecution"",""GetQueryExecutions"",""GetQueryResults"",""GetQueryResultsStream"",""GetQueryRuntimeStatistics"",""GetSession"",""GetSessionStatus"",""GetTable"",""GetTableMetadata"",""GetTables"",""GetWorkGroup"",""ImportNotebook"",""ListApplicationDPUSizes"",""ListCalculationExecutions"",""ListCapacityReservations"",""ListDataCatalogs"",""ListDatabases"",""ListEngineVersions"",""ListExecutors"",""ListNamedQueries"",""ListNotebookMetadata"",""ListNotebookSessions"",""ListPreparedStatements"",""ListQueryExecutions"",""ListSessions"",""ListTableMetadata"",""ListTagsForResource"",""ListWorkGroups"",""PutCapacityAssignmentConfiguration"",""RunQuery"",""StartCalculationExecution"",""StartQueryExecution"",""StartSession"",""StopCalculationExecution"",""StopQueryExecution"",""TagResource"",""TerminateSession"",""UntagResource"",""UpdateCapacityReservation"",""UpdateDataCatalog"",""UpdateNamedQuery"",""UpdateNotebook"",""UpdateNotebookMetadata"",""UpdatePreparedStatement"",""UpdateWorkGroup""]","arn:aws:athena:${Region}:${Account}:${ResourceType}/${ResourcePath}","^arn:aws:athena:.+","[""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonathena.html"
"bedrock","Amazon Bedrock","[""AllowVendedLogDeliveryForResource"",""ApplyGuardrail"",""AssociateAgentKnowledgeBase"",""AssociateThirdPartyKnowledgeBase"",""BatchDeleteEvaluationJob"",""CreateAgent"",""CreateAgentActionGroup"",""CreateAgentAlias"",""CreateDataSource"",""CreateEvaluationJob"",""CreateFlow"",""CreateFlowAlias"",""CreateFlowVersion"",""CreateFoundationModelAgreement"",""CreateGuardrail"",""CreateGuardrailVersion"",""CreateKnowledgeBase"",""CreateModelCopyJob"",""CreateModelCustomizationJob"",""CreateModelEvaluationJob"",""CreateModelInvocationJob"",""CreatePrompt"",""CreatePromptVersion"",""CreateProvisionedModelThroughput"",""DeleteAgent"",""DeleteAgentActionGroup"",""DeleteAgentAlias"",""DeleteAgentMemory"",""DeleteAgentVersion"",""DeleteCustomModel"",""DeleteDataSource"",""DeleteFlow"",""DeleteFlowAlias"",""DeleteFlowVersion"",""DeleteFoundationModelAgreement"",""DeleteGuardrail"",""DeleteKnowledgeBase"",""DeleteModelInvocationLoggingConfiguration"",""DeletePrompt"",""DeleteProvisionedModelThroughput"",""DeleteResourcePolicy"",""DetectGeneratedContent"",""DisassociateAgentKnowledgeBase"",""GetAgent"",""GetAgentActionGroup"",""GetAgentAlias"",""GetAgentKnowledgeBase"",""GetAgentMemory"",""GetAgentVersion"",""GetCustomModel"",""GetDataSource"",""GetEvaluationJob"",""GetFlow"",""GetFlowAlias"",""GetFlowVersion"",""GetFoundationModel"",""GetFoundationModelAvailability"",""GetGuardrail"",""GetIngestionJob"",""GetKnowledgeBase"",""GetModelCopyJob"",""GetModelCustomizationJob"",""GetModelEvaluationJob"",""GetModelInvocationJob"",""GetModelInvocationLoggingConfiguration"",""GetPrompt"",""GetProvisionedModelThroughput"",""GetResourcePolicy"",""GetUseCaseForModelAccess"",""InvokeAgent"",""InvokeFlow"",""InvokeModel"",""InvokeModelWithResponseStream"",""ListAgentActionGroups"",""ListAgentAliases"",""ListAgentKnowledgeBases"",""ListAgentVersions"",""ListAgents"",""ListCustomModels"",""ListDataSources"",""ListEvaluationJobs"",""ListFlowAliases"",""ListFlowVersions"",""ListFlows"",""ListFoundationModelAgreementOffers"",""ListFoundationModels"",""ListGuardrails"",""ListIngestionJobs"",""ListKnowledgeBases"",""ListModelCopyJobs"",""ListModelCustomizationJobs"",""ListModelEvaluationJobs"",""ListModelInvocationJobs"",""ListPrompts"",""ListProvisionedModelThroughputs"",""ListTagsForResource"",""PrepareAgent"",""PrepareFlow"",""PutFoundationModelEntitlement"",""PutModelInvocationLoggingConfiguration"",""PutResourcePolicy"",""PutUseCaseForModelAccess"",""Retrieve"",""RetrieveAndGenerate"",""StartIngestionJob"",""StopEvaluationJob"",""StopModelCustomizationJob"",""StopModelInvocationJob"",""TagResource"",""UntagResource"",""UpdateAgent"",""UpdateAgentActionGroup"",""UpdateAgentAlias"",""UpdateAgentKnowledgeBase"",""UpdateDataSource"",""UpdateFlow"",""UpdateFlowAlias"",""UpdateGuardrail"",""UpdateKnowledgeBase"",""UpdatePrompt"",""UpdateProvisionedModelThroughput""]","arn:aws:bedrock:${Region}:${Account}:${ResourceType}/${ResourceId}","^arn:aws:bedrock:.*:.*:.+","[""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys"",""bedrock:ThirdPartyKnowledgeBaseCredentialsSecretArn""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonbedrock.html"
"braket","Amazon Braket","[""AcceptUserAgreement"",""AccessBraketFeature"",""CancelJob"",""CancelQuantumTask"",""CreateJob"",""CreateQuantumTask"",""GetDevice"",""GetJob"",""GetQuantumTask"",""GetServiceLinkedRoleStatus"",""GetUserAgreementStatus"",""ListTagsForResource"",""SearchDevices"",""SearchJobs"",""SearchQuantumTasks"",""TagResource"",""UntagResource""]","arn:aws:braket:${Region}:${Account}:.+","^arn:aws:braket:${Region}:${Account}:.+","[""aws:RequestTag/${TagKey}"",""aws:ResourceTag/${TagKey}"",""aws:TagKeys""]","True","https://docs.aws.amazon.com/IAM/latest/UserGuide/list_amazonbraket.html"
